target,0nn,1nn,2nn,3nn,4nn
泉園休閒農場,戀戀空港灣休閒農場,平林休閒農場,竹林休閒農業區,頭城農場,金谷農場
耀輝牧場,樹谷農場,泉明生態教育蠶業農場,迴鄉有機驛站,大鴕家觀光休閒農場,麥客田園
圓光禪寺,靈嚴寺,北投普濟寺,德源禪寺,昭慶禪寺,護國寺
楓樹腳公園,運動公園,榮星花園公園,彰化縣立體育場,田中森林公園登山步道,鹿角溪公園
大園公園,桃園客家文化館,桃園市兒童美術館,中壢藝術館,桃園光影文化館(光影二館),獅潭鄉文化會館
龍岡國旗屋,米田貢觀光烘焙園區 / 埔里花卉有限公司,慈聖宮前小吃區,廣州街觀光夜市,金色豐收館,雙城街夜市
中壢六和商圈,桃園77藝文町,彩韻廣場,中平路商圈,富錦街,大溪老街
華泰名品城,忠泰美術館,臺北松山機場觀景台,南僑桃園生活體驗園區,台北101,站前地下街_K區誠品地下街
大湳圖書館,屏東美術館,國立臺灣大學博物館群_醫學人文博物館,SPOT光點台北電影館,臺北市鄉土教育中心_剝皮寮歷史街區,國史館臺灣文獻館
養樂多工廠,屏東縣民公園,金門縣農業試驗所,中台環境教育資源中心,臺南家具產業博物館,竹崎鹿滿客家文化園區
中台環境教育資源中心,養樂多工廠,淡水藝術工坊,大補內彈珠汽水觀光工廠,虹泰水凝膠世界,環保公園低碳教育館
源友咖啡文化館,東山175咖啡大道,谷泉咖啡莊園,山城美館展演藝廊,東山農會咖啡文化館,Mr. Lobby Coffee Project
青林農場,新光兆豐休閒農場,頭城農場,富田香草休閒農場(富田花園農場),麥客田園,平林休閒農場
彩韻廣場,中壢藝術館,中壢六和商圈,桃園77藝文町,桃園客家文化館,桃園防災教育館
新屋百年石滬群,吉貝文物館,吉貝石滬文化館,神祕小海灣,六孔碼頭,七股潟湖
南崁溪水岸自行車道,龜山第一河濱公園,新店溪河濱自行車道,關山親水公園,宜蘭濱海自行車道,大湖公園
大溪木藝生態博物館﹣藝師館,荒木藝術中心,大溪木藝生態博物館﹣木生活館,台灣工藝之家-黃紗榮木雕坊,台灣工藝之家-施自和藝術工作坊,台灣工藝之家-石藝巧雕工坊
桃園慈護宮,慶誠宮,新莊慈祐宮,雙慈殿,豐原慈濟宮,板橋慈惠宮
大溪普濟堂,潤濟宮,顯濟殿,龍隱寺,保福宮,豐原慈濟宮
赫威神木群,萬年峽谷,縣定古蹟樹靈塔,巨木群棧道,樹靈塔,溪頭自然教育園區
國立體育大學,天鵝湖公園(舊名埤寮埤),哭泣湖畔自然生態園區,靜心湖,長埤湖風景區,東勢河濱公園
Global Mall 桃園A8,桃園國際機場,中壢六和商圈,彩韻廣場,桃源里森林步道群(休閒賞鷹之旅),楊桃園休閒農場
中壢藝術館,壢景町,大園公園,長流當代美術館(桃園館),彩韻廣場,桃園客家文化館
桃園國際機場,Global Mall 桃園A8,彩韻廣場,外社輕便車站,桃源里森林步道群(休閒賞鷹之旅),華泰名品城
茄苳里埤塘公園,日月潭自行車道-松柏崙段,椬梧滯洪池,嘉義市環市自行車道,山線自行車道(專用道路段),竹東河濱公園
雲南文化公園,永春陂生態濕地公園,土城區原住民族生態公園,芝山公園,逸仙公園,北投文物館
蘆竹德馨堂,芑豐居(李芑豐古宅),陳德星堂,東里家風-百年古厝,同安張家古厝,北埔老街
外社輕便車站,桃園軌道願景館,新竹驛(新竹火車站),鶯歌車站,竹林休閒農業區,竹東之心‧竹東火車a站旅遊服務中心
桃園市土地公文化館,原住民文化會館,鎮瀾文化大樓,李天祿布袋戲文物館,桃園光影文化館(光影二館),臺灣客家文化館
葡萄王健康活力能量館,路葡萄酒莊-路葡萄隧道,帝國製糖廠臺中營業所,白蘭氏健康博物館,瘋狂夢想藝術園區,永信醫藥文物館
樂信瓦旦紀念公園,馬偕紀念館,涵碧步道,東興宮,青蓮寺,孫運璿科技．人文紀念館
龍潭觀光夜市,龍山宮,大龍街夜市,臺東觀光夜市,興南夜市,瑞光夜市
108賴家休閒農場,石門森林休閒農場,戀戀空港灣休閒農場,千郁休閒農場,平林休閒農場,潮州市民農園
千郁休閒農場,石門森林休閒農場,大安生態教育農場,農業試驗分所,108賴家休閒農場,戀戀空港灣休閒農場
台灣高鐵探索館,桃園軌道願景館,山里火車站,嶺腳車站,綠空鐵道1908,臺東鐵道藝術村
新溪口吊橋,溪口台地,粗石斛吊橋,大埔拱橋,舊樟原橋遊憩區,東河橋風景區
泰雅故事公園,烏來溫泉,泰雅渡假村,羅東運動公園,泰雅渡假村,東埔溫泉
桃園軌道願景館,臺中火車站ˍ舊站,山里火車站,台灣高鐵探索館,舊山線鐵道自行車,十分車站
桃園77藝文町,桃園客家文化館,中壢六和商圈,寶町藝文中心,桃園市土地公文化館,臺北市鄉土教育中心_剝皮寮歷史街區
桃園防災教育館,臺北市政府消防局防災科學教育館,大園公園,桃園客家文化館,彩韻廣場,桃園77藝文町
桃園市兒童美術館,綺麗觀光園區,臺中市立圖書館溪西分館,A8藝文中心,琉傳天下琉星花園,板橋435藝文特區
A8藝文中心,大溪木藝生態博物館﹣木生活館,三鶯藝術村,彙古陶邑,高雄市文化中心,桃園市兒童美術館
桃園光影文化館(光影二館),中壢光影電影館(光影一館),桃園客家文化館,桃園市土地公文化館,新北市藝文中心,國家兩廳院
中壢光影電影館(光影一館),桃園光影文化館(光影二館),歐威電影館,桃園新光影城,昇平戲院,SPOT光點台北電影館
八德落羽松森林,桃源谷,藤山步道,霄裡大池(霄裡池),百吉林蔭步道,雲山水植物農場
石門森林休閒農場,千郁休閒農場,108賴家休閒農場,大安生態教育農場,青山香草教育農園,農業試驗分所
桃蘆坑休閒農場,龜山第一河濱公園,鹿角溪公園,塭底賞鳥區,菜園濕地,新武呂溪保護區
侏羅紀博物館,石藝大街,花蓮縣石雕博物館,大地化石礦石博物館,綺麗觀光園區,水湳洞遊客中心_山城美館
大溪木藝生態博物館﹣鳳飛飛故事館,大溪木藝生態博物館﹣武德殿,大溪木藝生態博物館﹣藝師館,溪口鄉文化生活館,武荖坑風景區,桃園77藝文町
楊梅四維商圈,中平路商圈,捷運中山站街區_心中山線形公園,富錦街,站前地下街_K區誠品地下街,大埔老街
棒球名人堂,臺中市洲際棒球場,紅葉少棒紀念館,立德棒球場,虎‧棒‧水泉,KANO園區
壢景町,中壢藝術館,中壢光影電影館(光影一館),阿緱地方文化館,二二八國家紀念館,逸仙公園
自然接觸保養品亮點體驗園,國立自然科學博物館,濟生Beauty新竹觀光工廠,成美文化園,琉傳天下琉星花園,卡普秀時空膠囊觀光工廠
Xpark 八景島水族館,天人境界,綠蠵龜觀光保育中心,鼻頭龍洞地質公園,中港大排親水步道,新社商圈
桃園新光影城,桃園光影文化館(光影二館),中壢光影電影館(光影一館),HOLO Park映像鹽埕,雲門劇場,國家電影及視聽文化中心
大溪木藝生態博物館﹣木生活館,大溪木藝生態博物館﹣藝師館,A8藝文中心,寶町藝文中心,思微藏物生活空間,臺東美術館
崙坪文化地景園區,大溪木藝生態博物館﹣木生活館,龜殼生態公園,樹杞林文化館,臺灣客家文化館,獅潭鄉文化會館
鍾肇政文學生活園區,鍾理和紀念館,鍾理和故居,紀州庵文學森林,賴和紀念館,郭子究音樂館
後湖溪生態園區,瑞穗泛舟服務中心,北門潟湖,藻礁生態環境教室,七股潟湖,公二平台(水域遊憩新場所)
海洋客家牽罟文化館,永安海螺文化體驗園區,東石漁人碼頭,大塭觀光休閒養殖場,富山漁業資源保育區,討海文化館
藻礁生態環境教室,富山漁業資源保育區,海洋客家牽罟文化館,後湖溪生態園區,永安海螺文化體驗園區,澎湖海洋資源館
鑊篤陂塘生態公園,百年埤塘,水圳恩公祠,青塘園,白杞村百年埤塘,中都愛河濕地公園
巧虎夢想樂園,虎頭山環保公園,小人國,二崙新虎溪,虎山巖步道,壽山動物園
Global Mall 桃園A19,大魯閣新時代,桃園新光影城,桃園市土地公文化館,桃園客家文化館,后里馬場
永安海螺文化體驗園區,海洋客家牽罟文化館,東石漁人碼頭,吉貝石滬文化館,吉貝文物館,富山漁業資源保育區
十一份觀光文化園區,好時節休閒農場 (好時節農莊),三創生活,甘樂文創展演空間,石門嵩山社區百年石砌梯田,杜園
1895乙未保台紀念公園,敢部隊指揮部碉堡遺址(文史影像公園),國史館臺灣文獻館,大湳圖書館,第一賓館,戰爭和平紀念公園主題館
異域故事館,山海一家,戰爭與和平紀念公園主題館,敢部隊指揮部碉堡遺址(文史影像公園),戰爭和平紀念公園主題館,空軍三重一村
橫山采風館,平溪老街,香山火車站,華山1914文化創意產業園區,陽明山美軍俱樂部 Brick Yard 33 1/3,芝山文化生態綠園_芝山岩展示館
萬瑞渡假村,內洞森林遊樂區,富源步道,竹林休閒農業區,明池森林遊樂區,圓潭生態園區
思微藏物生活空間,璞園藝術坊,大溪木藝生態博物館﹣木生活館,許新旺陶瓷紀念博物館,竹山文化園區,彙古陶邑
Hi Look 平面設計工作室,大湳圖書館,錢來也雜貨店,陳中和紀念館,後浦16藝文特區,牯嶺街小劇場
關西關係實驗生活壹號店,奚卜蘭遊客中心(新太平洋一號店),MAJI集食行樂_圓山花博爭豔館,老楊方城市(老楊方塊酥),厚食聚落,不老居休閒農園
葫作啡為藝術坊,族群音樂館,臺北流行音樂中心,郭子究音樂館,响仁和鐘鼓廠,臺灣戲曲中心
司馬庫斯部落,指南宮,思源埡口,仙山靈洞宮,大化宮,海印寺
馬武督探索森林(綠光小學),溪頭自然教育園區,中興大學新化林場,大武國家森林步道,三芝田心子,青桐林生態園區
竹東河濱公園,山線自行車道(專用道路段),景美溪河濱自行車道,四湖海清宮一線天自行車道,冬山河自行車道,雙溪生活水岸自行車道
薰衣草森林,洄瀾灣開心農場,佳安里(石門十一份),柳營尖山埤渡假村,白河林初埤木棉花道,中興大學新化林場
關西東安橋,東河橋風景區,龍騰斷橋、南斷橋,靜安吊橋,多納高吊橋,大平橋
少帥張學良故居,鍾理和故居,鍾理和紀念館,曾文忠美術館,通梁古榕,嘉義公園
三毛居所,魯壁一家人,八德落羽松森林,二本松解說站,桃源谷,山里車站與山里教堂
新瓦屋客家文化保存區,新竹州廳(新竹市政府),竹藝博物館,樹杞林文化館,新竹州市役所(新竹市美術館暨開拓館),新竹護城河親水公園
新竹縣立體育館,竹東之心‧竹東火車a站旅遊服務中心,新竹公園(中山公園),新竹火車站－站前廣場,進益摃丸文化會館,新竹州廳(新竹市政府)
新竹縣立美術館,圓滿戶外劇場,臺東美術館,藝術館,臺灣客家文化館,屏東美術館
篁城竹簾文化館,竹山文化園區,璞園藝術坊,青竹竹文化園區,竹藝博物館,竹東之心‧竹東火車a站旅遊服務中心
名冠藝術館,臺華窯,台灣工藝之家-柯錦中(聖興西佛國),許新旺陶瓷紀念博物館,蕭武龍交趾陶,五榖文化村
軟橋社區,老街溪水岸自行車道,烏來吊橋,南崁溪水岸自行車道,雙溪生活水岸自行車道,綠川水岸廊道
樹杞林文化館,竹藝博物館,青竹竹文化園區,新瓦屋客家文化保存區,竹山文化園區,苗北藝文中心
蕭如松藝術園區,苦伕寮公園,大院子,虎尾厝沙龍,原東勢公學校宿舍,原台南廳長官邸
竹東之心‧竹東火車a站旅遊服務中心,新竹縣立體育館,竹山文化園區,新竹港南濱海風景區,新竹火車站－站前廣場,新竹公園(中山公園)
老湖口天主堂文化館,溪湖庄役場,郭子儀紀念堂_內湖紅樓,彭城劉氏宗祠,湖口老街,劍湖慈光寺
漫畫藝文廣場,上品香果園,新寶觀光果園,金漢柿餅教育園區,味衛佳柿餅觀光農場,新埔梨村農場
小叮噹科學主題樂園,日月潭特色遊學中心(歐都納戶外山野勇氣館),西寶國小,國立暨南國際大學,大魯閣新時代,甘樂文創展演空間
幻多奇另類博物館,順益台灣原住民博物館,甲仙化石館,鯉魚山公園,中山公園,中台世界博物館
好客好品希望工場,寶町藝文中心,美濃文創中心,新東糖廠文化園區,HOLO Park映像鹽埕,臺南家具產業博物館
六福村主題遊樂園,壽山動物園,遠雄海洋公園,馬武督探索森林(綠光小學),喜樂發發森林公園,拉索埃生態園區
金廣成文化館,潭南國小(不對外開放參觀),市定古蹟-旗山國小,原東勢公學校宿舍,北埔老街,建成圓環
沙湖壢藝術村,柳營尖山埤渡假村,藤山步道,興隆公園,四十二份坪,加路蘭
濟生Beauty新竹觀光工廠,台塑生醫健康悠活館,自然接觸保養品亮點體驗園,台灣不二衛生套知識館,金門縣農業試驗所,汎歌保養品科技美學館
木酢達人,大同醬油黑金釀造館,東華樟腦廠,蔦松客棧,造橋木炭博物館,美雅家具觀光工廠
石店子69有機書店,北竿遊客中心,羅屋書院,寶町藝文中心,大湳圖書館,老家藝文空間
魯壁一家人,桃源谷,八德落羽松森林,迷糊步道（米洋溪步道）,石夢谷,烈女義坑
蓮花寺步道,綠色隧道,大嶺巷步道,十八尖山,富興步道,二八彎古道
金獅(寺)步道,法雲寺古道,慈湖,金包里大路(魚路古道),碧湖步道,御成路古道
鳳崎落日步道,森林公園步道,天德堂,南天花苑,蓮花寺步道,文學步道
飛龍池步道,蓮花寺,蓮花寺步道,磺清大橋,鎮南宮,蓮潭
犁頭山步道,金瓜寮茶香生態村,草坪頭玉山茶園,二尖山步道,猫囒山步道,貓空樟樹步道
巨埔步道,萬豐環山步道,特富野步道（樟樹巨木群）,大武國家森林步道,田中森林公園,巨埔農場
清水古道,清水岩寺,挑水古道,浸水營古道(枋寮段),挑水古道(探古賞景之旅),御成路古道
燒炭窩古道,騎龍古道,老銃櫃步道,文林生態古道,碧山古道,錐麓古道
照門步道群–霽月步道,光明山稜線,鳳凰山農場,縣139線景觀道路,水流東桐花步道,桐海秘境步道
照門步道群–觀南步道,大武國家森林步道,奮起湖杉林棧道,巨埔步道,石牛山步道,竹坑南寮登山步道
照門步道群–九福步道,青桐林生態園區,明池森林遊樂區,四十二份坪,遠望坑親水公園,青桐林生態區步道
三段崎古道,菁桐古道,山尖路步道,瑞太古道,碧山古道,碧湖步道
石光(老虎山)步道,樟山寺,太興岩步道,石碇老街,頂湖步道,石碇淡蘭藝文館
四寮溪步道,四十二份坪,四十二份坪步道,圓潭生態園區,四重溪溫泉區,水流東桐花步道
石牛山步道,竹坑南寮登山步道,森林公園步道,雅吾瑪斯步道,鬼澤山步道,十二寮步道
鹿寮坑步道,小粗坑古道,穎達生態休閒農場,大農大富平地森林園區,青桐林生態園區,水流東桐花步道
飛鳳山步道,關子嶺大凍山步道&雞籠山,橫山賞鷹平台,蓮花寺,六義山登山步道,太平風景區
文林生態古道,燒炭窩古道,雅吾瑪斯步道,錐麓古道,清水古道,碧山古道
森林公園步道,十二寮步道,石牛山步道,新美香樟林步道,碧山岩古道(探古賞景之旅),竹坑南寮登山步道
軟橋千歲步道,水濂橋步道,橫路古道-半天橋,地景橋,東溪大橋,永興吊橋
五指山猴洞步道,森林公園步道,五指山步道,猴洞坑瀑布,竹坑南寮登山步道,鬼澤山步道
鬼澤山步道,新田登山步道,青桐林生態園區,石棹步道群,關子嶺大凍山步道&雞籠山,石牛山步道
野馬瞰山森林步道,鹿廚坑步道,奮起步道,田中森林公園,青桐林生態園區,加里山步道
福沙大崎步道,三段崎古道,御成路古道,富士坪古道,挑水古道,津仁與馬港步道
騎龍古道,小粗坑古道,龍船窩,玄空法寺,清水岩寺,挑水古道
大崎崠古道,碧湖步道,碧山古道,青山瀑布步道,鎮南宮,獅公髻尾山登山步道
茶亭古道,三段崎古道,大崎崠古道,琉榔路步道,大山背農園,鶴岡文旦觀光果園
霞喀羅古道,桶後溪,大禹嶺,菁桐古道,大羅蘭溪,李崠山步道
司馬庫斯步道,鎮西堡步道,樟山寺,綠色隧道,特富野步道（樟樹巨木群）,挑水古道
鎮西堡步道,司馬庫斯步道,巨木群棧道,特富野步道（樟樹巨木群）,桃源里森林步道,大棟山
北得拉曼步道,田中森林公園,人乘寺地藏院,惠蓀林場,田中森林公園．赤水崎步道(登山懷舊之旅),鸞山部落(森林博物館)
李崠山步道,鳶山登山步道,馬那邦山登山步道,尖山湖紀念碑,太武山風景區,玉章路牌坊
五指山步道,十八尖山,五指山猴洞步道,古奇峰,和平部落休閒農業區,國父百年紀念亭
獅山古道,寶來妙通寺,觀音山及鳳凰山登山步道,烏山登山步道系統,樟山寺,法雲寺古道
十二寮步道,森林公園步道,石牛山步道,清水岩步道群－二棧坪自然山徑,雅吾瑪斯步道,新美香樟林步道
六寮古道,桐海秘境步道,金獅(寺)步道,桐林里登山步道,獅頭山登山步道,挑水古道
水濂橋步道,茂林谷/羅木斯溪步道,遠望坑親水公園,山尖路步道,雅吾瑪斯步道,竹坑南寮登山步道
櫻花園休閒農莊,布農部落休閒農場,布農族文物館,文山農場,卷木森活館,烏來林業生活館
竹語茶蘆蕃薯伯,布農族文物館,青竹竹文化園區,蘆竹湳古厝,泉明生態教育蠶業農場,大埔老街
福樂休閒漁村,新竹漁港,蘆竹溝觀光漁港,南寮漁港(南寮舊港),香山溼地,新竹公園(中山公園)
照門休閒農業區,周家庄觀光農場(休憩小棧),摩天嶺,大湖公園,十二寮休閒農業區,碧湖公園
金谷農場,巨埔農場,文山農場,頭城農場,三灣梨鄉休閒農業區,南元休閒農場
周家庄觀光農場(休憩小棧),照門休閒農業區,長埤湖風景區,碧湖公園,太湖遊憩區,九寮溪生態園區
陳家農場,竹圃茶園小木屋休閒農場,埤塘窩自然農莊,樹谷農場,泉明生態教育蠶業農場,金谷農場
林家果園,王乾坤有機農園,味衛佳柿餅觀光農場,豐山生態園區,桃花源,桐遊柿界
富茂蘭園,蘭科植物園,清波蘭園,芬園花卉生產休憩園區,潭子觀光蘭園,香草菲菲芳香植物博物館
金漢柿餅教育園區,味衛佳柿餅觀光農場,元馨柿餅,柿子哥農場,郭元益糕餅博物館,三協成糕餅博物館
新寶觀光果園,上瑞柑園,上品香果園,巨埔農場,新莊青年公園(牡丹心生態公園),金谷農場
巨埔農場,金谷農場,巨埔步道,青山香草教育農園,龍雲休閒農場,竹圃茶園小木屋休閒農場
上品香果園,新埔梨村農場,新寶觀光果園,上瑞柑園,和豐農園,味衛佳柿餅觀光農場
新埔梨村農場,和豐農園,上品香果園,東勢梨文化館,上瑞柑園,富興森林小火車
福祥仙人掌 多肉植物園,潭子觀光蘭園,大安生態教育農場,臺北典藏植物園_天使館,清波蘭園,淡江大學蘭陽校園
味衛佳柿餅觀光農場,金漢柿餅教育園區,柿子哥農場,桐遊柿界,元馨柿餅,林家果園
埤塘窩自然農莊,亞力山大蝴蝶生態教育農場,金車礁溪蘭花園,檨仔林埤濕地公園,竹崎親水公園-花仙子步道,泉明生態教育蠶業農場
十全農園,阿根草莓園,福田草莓園,高品蕃茄農園,大羅草莓園,福龜草莓園
錦山觀光農園,背影橘舍觀光果園,荳媽媽休閒果園,竹圃茶園小木屋休閒農場,圓潭生態園區,金谷農場
阿根草莓園,福田草莓園,大羅草莓園,高品蕃茄農園,十全農園,福龜草莓園
關西鎮農會仙草加工廠,壢西坪休閒農業區,福祥仙人掌 多肉植物園,大羅草莓園,高品蕃茄農園,福田草莓園
慈心農場,惠森自然休閒農場,農業試驗分所,育成水耕教育農場,農業生物科技園區,信義鄉農會梅子夢工廠
福田草莓園,高品蕃茄農園,大羅草莓園,阿根草莓園,關西鎮農會仙草加工廠,豐丘葡萄觀光果園
高品蕃茄農園,高品蕃茄農園,大羅草莓園,阿根草莓園,關西鎮農會仙草加工廠,豐丘葡萄觀光果園
大羅草莓園,高品蕃茄農園,大羅草莓園,阿根草莓園,關西鎮農會仙草加工廠,豐丘葡萄觀光果園
元馨柿餅,味衛佳柿餅觀光農場,金漢柿餅教育園區,善化糖廠,三協成糕餅博物館,吉園休閒農場
鹿寮坑段木香菇農場,青山香草教育農園,平林休閒農場,龍雲休閒農場,大安生態教育農場,王乾坤有機農園
順翌休閒馬場,馬祖故事館,后里馬場,滬尾馬偕醫館,迴鄉有機驛站,臺灣馬樂活山莊
深井村茶花園區,茶花莊,草坪頭玉山茶園,大崙山銀杏茶園,舞鶴觀光茶園,坪林生態園區
峰城炭窯 (木炭的家),造橋木炭博物館,火燄山系步道,菁桐煤礦紀念公園,竹炭一村,森林之歌
上瑞柑園,松原農庄,和豐農園,鶴岡文旦觀光果園,新寶觀光果園,農業試驗分所
頤禾園有機農園,潮州市民農園,福村養生農場,泉明生態教育蠶業農場,平林休閒農場,麥客田園
竹林養生村合作社,坪林茶產業文化館,坪林生態園區,遊山茶訪,坪頂觀光茶園(茶葉推廣中心),銅鑼茶廠
山上人家農場,笠頂山登山步道,華山休閒農業區,生力農場,關子嶺大凍山步道&雞籠山,飛鳳山步道
和平部落休閒農業區,太平風景區,仁山植物園,樂野,太平山國家森林遊樂區,豐柏廣場
五峰涼山露營區,太平山國家森林遊樂區,關子嶺大凍山步道&雞籠山,和平部落休閒農業區,鳶山登山步道,利稻部落
天岳農場,平林休閒農場,頭城農場,穎達生態休閒農場,三灣梨鄉休閒農業區,龍雲休閒農場
青葉甜柿園,味衛佳柿餅觀光農場,柿子哥農場,金漢柿餅教育園區,元馨柿餅,太保精緻溫室農業
大山背農園,犁頭山步道,戀戀空港灣休閒農場,大埔老街,和平部落休閒農業區,利稻部落
大嬸婆的家手工窯烤麵包,樂米工坊,松山土窯羊肉,何記手工日曬麵,老楊方城市(老楊方塊酥),忠貞商圈
老大份休閒農場,泉園休閒農場,竹語茶蘆蕃薯伯,頭城農場,戀戀空港灣休閒農場,十二寮休閒農業區
天人岩屋,吊腳樓,新八景之塔山奇岩,石碇百年石頭屋,百年砌石梯田,沙港村˙大尾尖頂塔
秘花園休閒露營區,中正露營區,綠島紫坪露營區,青山坪咖啡農場,崙天遊憩區,文山農場
嶺海山林休閒農場,東石環保公園,山腳國小,中山公園,金山舊機場遺址與李芑豐古宅,雲門劇場
山清休閒農園,雲洞山莊,潭南螢火蟲生態區,神山部落廚藝學校,羅幸鱒魚休閒農莊,山城美館展演藝廊
羅幸鱒魚休閒農莊,基隆廟口,池上飯包博物館,澳底海鮮街,七股海產街,麥客田園
馬紹果園,松原農庄,味衛佳柿餅觀光農場,柿子哥農場,福龜草莓園,青葉甜柿園
八五山老劉果園,柚花香道,硬漢嶺,笠頂山登山步道,太和社區,天上山系步道
惠森自然休閒農場,戀戀空港灣休閒農場,廣興教育農園,泉園休閒農場,108賴家休閒農場,慈心農場
老頭擺農庄,竹東之心‧竹東火車a站旅遊服務中心,巨埔農場,金谷農場,新寶觀光果園,新竹公園(中山公園)
麥客田園,台灣水牛城,頭城農場,稻米原鄉館,青林農場,新光兆豐休閒農場
西瓜莊園,西瓜莊園文化教育園區,瓜瓜園地瓜生態故事館,汪汪地瓜園產業故事館,頤禾園有機農園,荳媽媽休閒果園
西瓜莊園文化教育園區,亞力山大蝴蝶生態教育農場,台鉅美妝觀光工廠,西瓜莊園,獨角仙農場,昇和香菇農園
十二寮休閒農業區,福興南和自行車道,萬豐環山步道,安農溪自行車道,石門水庫,左鎮月世界生態學園(岡林國小)
富興茶葉展售中心,石碇淡蘭藝文館,台灣農林大寮茶文館,綠光農園,呂美麗精雕藝術館,新北市坪林茶業博物館
背影橘舍觀光果園,錦山觀光農園,大山背農園,上安觀光果園,山豬窟休閒農場,椬梧社區
松芸軒咖啡莊,源友咖啡文化館,豆讚咖啡莊園,Mr. Lobby Coffee Project,臨江街觀光夜市,山城美館展演藝廊
羅屋書院,二崁聚落保存區,東里家風-百年古厝,北竿遊客中心,板橋農村公園,清河堂休閒農業區
不老居休閒農園,魯壁一家人,瓊林一門三節坊,關西關係實驗生活壹號店,欽旌節牌坊,金寶山與鄧麗君墓園 (鄧麗君紀念公園-筠園)
厚食聚落,廟東夜市,MAJI集食行樂_圓山花博爭豔館,三才靈芝農場,頭城農場,麥客田園
溝貝農莊,南濱公園,布袋觀光漁市,貓裏喵親子公園,不一樣鱷魚生態農場,向禾休閒漁場（蔡牽海盜村）
竹北天后宮,太聖宮,北極殿,梧棲朝元宮,濟世宮,左鎮北極殿
蓮華寺,法華寺,臨濟護國禪寺,指南宮,湧蓮寺,湧蓮寺
蓮花寺,鳳山寺,德源禪寺,蓮花寺步道,諦願寺,鹿港鳳山寺
溪南湖口顯聖宮,關山天后宮,永貞宮,天后宮,永安宮,寧城宮
湖口三元宮,北埔老街,縣定古蹟大興宮,馬公水仙宮（臺廈郊會館）,溪湖庄役場,施公祠及萬軍井
鳳山寺,蓮花寺,禪林寺,寶來妙通寺,千佛山菩提寺,人乘寺地藏院
鳳蓮宮,西嶼大義宮,宸威殿,顯濟殿,海靈殿,武聖廟
池府王爺廟,海埔池王府,超峰寺,古地城隍廟,竹滬明寧靖王廟-華山殿,鹿港鳳山寺
天德堂,西門福德祠,鳳崎落日步道,臺灣省城隍廟,台南武德殿,豐蓮山牧馬侯祠
新豐三元宮,竹林山觀音寺,臺中市忠烈祠,宗聖公祠,后厝龍鳳宮,紫雲巖
新豐普元宮,下湳鉢子寺,古奇峰文物館,寧城宮,玉泉山普照宮,太平宮
三聖宮,三忠廟,大化宮,溪南湖口顯聖宮,鹿港南靖宮,八德三元宮
廣和宮,新莊廣福宮,寧城宮,關山天后宮,新莊慈祐宮,鹿港鳳山寺
新埔文昌祠,文昌祠,新祖宮,新竹孔廟,新莊廣福宮,大社東勢北極殿
元和宮,關山天后宮,大化宮,萬興宮,大甲鎮瀾宮,新莊慈祐宮
關西太和宮,蘇澳晉安宮(張公廟),北埔老街,北斗奠安宮,蔡廷蘭進士第,八份姑媽宮
代勸堂,豐蓮山牧馬侯祠,寧城宮,林內公園,鳳蓮宮,顯濟殿
文林閣,蓮華寺,興安宮,啟示玄機院,文昌祠,天文宮
新豐宮,新莊廣福宮,廣和宮,寧城宮,太平宮,大化宮
種福禪寺,元聖宮,劍湖慈光寺,赤山龍湖巖,超峰寺,湖山岩大佛寺／佛教藝術園區
元聖宮,種福禪寺,保生宮,潤濟宮,寧城宮,啟示玄機院
保生宮,仁壽宮,保西代天府,威靈宮,保福宮,安定保安宮
聖女小德蘭教堂,圓滿教堂,聖十字架教堂,天主教台北聖家堂,霧台基督教長老教會,玫瑰聖母聖殿主教座堂
新城新豐宮,紫南宮,道教總廟三清宮,左鎮北極殿,馬公北甲北辰宮,永安宮
惠昌宮,虎尾興中里帥興宮,西羅殿,板橋慈惠宮,潤濟宮,埔鹽順澤宮
玉泉山普照宮,鹿港南靖宮,西嶼大義宮,三聖宮,顯濟殿,武聖廟
清泉天主堂,知本天主堂,天主教台北聖家堂,圓滿教堂,松山慈惠堂,芝山巖惠濟宮
廣濟宮,鹽園順天宮,崙背奉天宮,潤濟宮,廣安宮,延平郡王祠
丹桂宮,紫雲巖,淡水龍山寺,昭應宮,漚汪文衡殿,壽天宮
隆聖宮,知本天主堂,后厝龍鳳宮,龍崎文衡殿,東隆宮王爺信仰文物館,旗津天后宮
元光寺,鶯山廟,寶來妙通寺,種福禪寺,八仙山寶林禪寺,清覺寺
萬佛庵,萬佛庵,禪林寺,千佛山菩提寺,佛光山,昭慶禪寺
新豐高爾夫球場,新竹縣立體育館,南寶高爾夫俱樂部,新竹公園(中山公園),嘉南高爾夫球場,臺南高爾夫球場
旭陽高爾夫球場,南一高爾夫球場,台南高爾夫球場,南寶高爾夫球場,澄清湖高爾夫球場,臺南高爾夫球場
老爺關西高爾夫球場,嘉南高爾夫球場,旭陽高爾夫球場,台灣設計館,金城民防坑道,九宮坑道
立益高爾夫球場,東洋棕梠湖高爾夫球場,賽嘉樂園,富田香草休閒農場(富田花園農場),澄霖味道森林館,青林農場
竹東五穀宮,五穀王廟,竹蓮寺,五指山步道,新竹孔廟,竹北天后宮
青蛙石大峽谷,石夢谷,石盤鼓瀑布,青山瀑布步道,霧鹿峽谷,豐山觀景台
湖口老街,富岡老街,林園安樂樓,頭城老街,陳萬乞古厝,大里老街
